Manufacturer,Model,Date,Type,Refrigerant,Mass of Refrigerant [kg],Pdesignc,T_outside [°C],T_out [°C],Pdc [kW],EER
DAIKIN Europe N.V.,EPRA16DV / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,20,7,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,35,7,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,30,7,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,25,7,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,20,7,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,35,7,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,30,7,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,25,7,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETBX16D6V,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,20,7,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,35,7,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,30,7,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,25,7,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETBX16D9W,2020-02-07,Outdoor Air/Water,R32,4.2,7.88,20,7,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,35,7,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,30,7,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,25,7,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,20,7,5.13,5.61
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,35,7,7.88,2.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,30,7,5.92,3.69
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,25,7,5.09,4.63
DAIKIN Europe N.V.,EPRA16DV / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,20,7,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,35,7,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,30,7,5.92,3.69
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,25,7,5.09,4.63
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D6V(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,20,7,5.13,5.61
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,35,7,7.88,2.69
DAIKIN Europe N.V.,EPRA16DW / ETVX16S18D9W(G),2020-02-07,Outdoor Air/Water,R32,4.2,7.88,30,7,5.92,3.69
